instance,variant,client,service,service_impl
1,1,org.apache.tools.ant.taskdefs.Get,org.apache.tools.ant.taskdefs.Get$DownloadProgress,org.apache.tools.ant.taskdefs.Get$NullProgress
1,2,org.apache.tools.ant.taskdefs.Get,org.apache.tools.ant.taskdefs.Get$DownloadProgress,org.apache.tools.ant.taskdefs.Get$VerboseProgress
2,1,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,org.apache.tools.ant.types.selectors.modifiedselector.Cache,org.apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache
3,1,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,org.apache.tools.ant.types.selectors.modifiedselector.Algorithm,org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm
3,2,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,org.apache.tools.ant.types.selectors.modifiedselector.Algorithm,org.apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm
3,3,org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,org.apache.tools.ant.types.selectors.modifiedselector.Algorithm,org.apache.tools.ant.types.selectors.modifiedselector.ChecksumAlgorithm
4,1,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.ClassConstants
4,2,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.HeadFilter
4,3,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TailFilter
4,4,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.ReplaceTokens
4,5,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.EscapeUnicode
4,6,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.StripLineComments
4,7,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.taskdefs.VerifyJar$BufferingOutputFilter
4,8,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.ExpandProperties
4,9,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.PrefixLines
4,10,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$DeleteCharacters
4,11,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter
4,12,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.LineContains
4,13,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.StripJavaComments
4,14,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TabsToSpaces
4,15,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.LineContainsRegExp
4,16,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.StripLineBreaks
4,17,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$ReplaceString
4,18,org.apache.tools.ant.taskdefs.VerifyJar,org.apache.tools.ant.filters.ChainableReader,org.apache.tools.ant.filters.TokenFilter$IgnoreBlank
